Nombre del negocio,Contacto,Teléfono,Email,Vertical,Ubicación,Estado,Notas
Del Parque Inmobiliaria,,0341-156395922,,Inmobiliaria,Rosario,No contactado,
CAI Inmobiliaria,,3416017229,,Inmobiliaria,Rosario (Santiago 1186),No contactado,
Fontana Inmobiliaria,,341-158199999,,Inmobiliaria,Rosario,No contactado,
INMOBILIARIA ALSINA,,341-153529087,,Inmobiliaria,Rosario,No contactado,
FARINA INMOBILIARIA,,0341-156402653,,Inmobiliaria,Rosario,No contactado,
M GROISMAN NEGOCIOS INMOBILIARIOS,,341-156501357,,Inmobiliaria,Rosario,No contactado,
NIXEL NEGOCIOS INMOBILIARIOS,,341-156569238,,Inmobiliaria,Rosario,No contactado,
CI Mariano Lago,,0341-156488940,,Inmobiliaria,Rosario (Sarmiento 1726),No contactado,
Dr. Cavalleri Tanno (Odontología),,03412141197,,Clínica,Rosario (Maipu 1281),No contactado,"Turnos SOLO por WhatsApp"
MICHELETTI ODONTOLOGÍA,,,WhatsApp disponible sin número visible,Clínica,Rosario,No contactado,"Buscar en Synara"
H&D Odontología Integral,,,WhatsApp disponible sin número visible,Clínica,Rosario,No contactado,"5.0/5, 35 reseñas"
Centro de Estética Osiris,,,WhatsApp disponible sin número visible,Clínica,Rosario,No contactado,"4.4/5, 446 reseñas"
Arella Estetica & Salud,,,WhatsApp disponible sin número visible,Clínica,Rosario,No contactado,"5.0/5, 11 reseñas"
Óptica Veneto,,03413553279,,Comercio,Rosario (Mendoza 3987),No contactado,
Inside Jeans,,341-3412282,,Comercio,Rosario,No contactado,
Farmacia Saia,,03413010169,,Comercio,Rosario (Francia 1501),No contactado,
Sakura,,3416358198,,Comercio,Rosario,No contactado,
D'Ricco,,3413747779,,Comercio,Rosario,No contactado,
Estudio Gianatti y Asoc.,,,WhatsApp disponible sin número visible,Estudio,Rosario,No contactado,"Buscar en Fiscal.com.ar"
Electricista Matriculado,,03412298077,,Servicio,Rosario,No contactado,"Urgencias 24 hs"
Electrotécnico Pablo S Rueda,,156-98-45-62,,Servicio,Rosario,No contactado,"Presupuestos sin cargo"
Urgencias electricas 24 hs,,3415016901,,Servicio,Rosario,No contactado,
Plomero gasista matriculado,,3415476270,,Servicio,Rosario,No contactado,"Presupuesto sin cargo"
Marcelo Escobar (Plomero/Gasista),,+54341541-5658,,Servicio,Rosario (Gaboto 2061),No contactado,
DIEGO GASISTA Y PLOMERO,,0341268077,,Servicio,Rosario,No contactado,
ANDRES VIVA-GASISTA MATRICULADO,,03414666662 / 0341155494231,,Servicio,Rosario,No contactado,
